epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
214,4271.54,0.5795,0.71262,0.99806,0.71737,0.002971,0.002971,0.002971
215,4282.61,0.58668,0.71262,0.99709,0.77814,0.002938,0.002938,0.002938
216,4299.58,0.60812,0.71359,0.99709,0.76151,0.002905,0.002905,0.002905
217,4313.86,0.57399,0.71165,0.99709,0.74059,0.002872,0.002872,0.002872
218,4324.92,0.61209,0.71748,0.99806,0.74987,0.002839,0.002839,0.002839
219,4336.15,0.56399,0.70874,0.99709,0.77809,0.002806,0.002806,0.002806
220,4352.78,0.55831,0.71942,0.99709,0.7542,0.002773,0.002773,0.002773
221,4367.34,0.55708,0.7165,0.99709,0.73411,0.00274,0.00274,0.00274
222,4378.61,0.57156,0.71845,0.99709,0.75605,0.002707,0.002707,0.002707
223,4391.33,0.60824,0.71262,0.99709,0.76507,0.002674,0.002674,0.002674
224,4410.13,0.60304,0.70291,0.99709,0.75257,0.002641,0.002641,0.002641
225,4425.59,0.56426,0.7068,0.99806,0.75723,0.002608,0.002608,0.002608
226,4441.46,0.56764,0.7,0.99709,0.75645,0.002575,0.002575,0.002575
227,4459.59,0.55353,0.69223,0.99806,0.76034,0.002542,0.002542,0.002542
228,4474.86,0.56976,0.69417,0.99709,0.77668,0.002509,0.002509,0.002509
229,4488.8,0.55823,0.69515,0.99806,0.76545,0.002476,0.002476,0.002476
230,4505.88,0.57128,0.69612,0.99806,0.76514,0.002443,0.002443,0.002443
231,4554.72,0.56052,0.69515,0.99903,0.7671,0.00241,0.00241,0.00241
232,4655.84,0.58896,0.69223,0.99903,0.77018,0.002377,0.002377,0.002377
233,4694.24,0.55581,0.70777,0.99903,0.76301,0.002344,0.002344,0.002344
234,4730.62,0.54461,0.71165,0.99903,0.75506,0.002311,0.002311,0.002311
235,4754.6,0.56346,0.71359,0.99903,0.76883,0.002278,0.002278,0.002278
236,4767.21,0.5514,0.71165,0.99903,0.75514,0.002245,0.002245,0.002245
237,4778.29,0.5476,0.7068,0.99903,0.76076,0.002212,0.002212,0.002212
238,4793.29,0.55125,0.70874,1,0.76086,0.002179,0.002179,0.002179
239,4807.88,0.54838,0.70971,1,0.78605,0.002146,0.002146,0.002146
240,4818.84,0.536,0.70485,1,0.80253,0.002113,0.002113,0.002113
241,4829.89,0.54029,0.70583,0.99903,0.76318,0.00208,0.00208,0.00208
242,4845.34,0.53215,0.70971,0.99903,0.76485,0.002047,0.002047,0.002047
243,4859.18,0.53676,0.70485,0.99806,0.76429,0.002014,0.002014,0.002014
244,4870.17,0.5483,0.70194,0.99903,0.7612,0.001981,0.001981,0.001981
245,4881.37,0.54678,0.69515,0.99903,0.76083,0.001948,0.001948,0.001948
246,4896.17,0.54679,0.7,0.99806,0.76815,0.001915,0.001915,0.001915
247,4910.65,0.56678,0.70388,0.99806,0.77013,0.001882,0.001882,0.001882
248,4921.85,0.54103,0.70583,0.99806,0.77508,0.001849,0.001849,0.001849
249,4933.28,0.52447,0.70194,0.99903,0.77442,0.001816,0.001816,0.001816
250,4947.67,0.53657,0.69903,0.99903,0.76836,0.001783,0.001783,0.001783
251,4962.71,0.52617,0.70291,0.99806,0.80259,0.00175,0.00175,0.00175
252,4973.75,0.51135,0.70291,0.99806,0.77944,0.001717,0.001717,0.001717
253,4984.86,0.51495,0.69806,0.99612,0.8074,0.001684,0.001684,0.001684
254,5000.05,0.51696,0.70097,0.99709,0.77572,0.001651,0.001651,0.001651
255,5014.37,0.52065,0.7068,0.99709,0.78323,0.001618,0.001618,0.001618
256,5025.65,0.52124,0.7068,0.99709,0.78565,0.001585,0.001585,0.001585
257,5036.61,0.50149,0.69903,0.99709,0.78624,0.001552,0.001552,0.001552
258,5050.15,0.51527,0.69903,0.99709,0.79653,0.001519,0.001519,0.001519
259,5065.62,0.52009,0.7,0.99709,0.80628,0.001486,0.001486,0.001486
260,5076.74,0.49247,0.7,0.99709,0.83875,0.001453,0.001453,0.001453
261,5087.91,0.48788,0.70194,0.99709,0.82658,0.00142,0.00142,0.00142
262,5099.97,0.48955,0.70291,0.99709,0.81906,0.001387,0.001387,0.001387
263,5115.64,0.49561,0.69806,0.99709,0.86547,0.001354,0.001354,0.001354
264,5128.16,0.50297,0.69612,0.99709,0.83991,0.001321,0.001321,0.001321
265,5139.38,0.50442,0.69806,0.99612,0.82305,0.001288,0.001288,0.001288
266,5154.62,0.50377,0.69223,0.99612,0.86784,0.001255,0.001255,0.001255
267,5171,0.51015,0.6932,0.99612,0.83793,0.001222,0.001222,0.001222
268,5182.02,0.50499,0.69126,0.99612,0.82982,0.001189,0.001189,0.001189
269,5193.39,0.48326,0.70097,0.99612,0.82358,0.001156,0.001156,0.001156
270,5205.99,0.49325,0.69806,0.99612,0.8349,0.001123,0.001123,0.001123
271,5221.9,0.51419,0.70291,0.99709,0.84073,0.00109,0.00109,0.00109
272,5234.05,0.4958,0.69612,0.99709,0.86407,0.001057,0.001057,0.001057
273,5245.55,0.48351,0.69417,0.99709,0.87243,0.001024,0.001024,0.001024
274,5262.3,0.50921,0.69223,0.99709,0.8548,0.000991,0.000991,0.000991
275,5279.38,0.50685,0.69126,0.99709,0.8569,0.000958,0.000958,0.000958
276,5290.24,0.48578,0.6932,0.99709,0.86242,0.000925,0.000925,0.000925
277,5304.27,0.4937,0.69223,0.99709,0.86167,0.000892,0.000892,0.000892
278,5320.12,0.48358,0.69903,0.99709,0.86174,0.000859,0.000859,0.000859
279,5334.88,0.50974,0.69709,0.99709,0.87081,0.000826,0.000826,0.000826
280,5345.68,0.47593,0.69903,0.99709,0.84586,0.000793,0.000793,0.000793
281,5356.95,0.47073,0.70097,0.99612,0.8703,0.00076,0.00076,0.00076
282,5372.12,0.46943,0.70388,0.99515,0.86481,0.000727,0.000727,0.000727
283,5386.1,0.52569,0.70097,0.99515,0.8592,0.000694,0.000694,0.000694
284,5397.08,0.47274,0.70388,0.99515,0.87495,0.000661,0.000661,0.000661
285,5409.19,0.46755,0.70097,0.99612,0.8709,0.000628,0.000628,0.000628
286,5424.76,0.48918,0.70194,0.99709,0.89272,0.000595,0.000595,0.000595
287,5437.42,0.46558,0.7,0.99709,0.89318,0.000562,0.000562,0.000562
288,5448.69,0.46647,0.69806,0.99709,0.8729,0.000529,0.000529,0.000529
289,5459.96,0.46992,0.6932,0.99709,0.87652,0.000496,0.000496,0.000496
290,5475.53,0.4785,0.69029,0.99709,0.88258,0.000463,0.000463,0.000463
291,5490.53,0.44931,0.69417,0.99709,0.87573,0.00043,0.00043,0.00043
292,5501.58,0.47666,0.69223,0.99709,0.89636,0.000397,0.000397,0.000397
293,5517.79,0.46366,0.69417,0.99709,0.9043,0.000364,0.000364,0.000364
294,5590.5,0.45653,0.68738,0.99612,0.89045,0.000331,0.000331,0.000331
295,5632.03,0.47385,0.68835,0.99612,0.90786,0.000298,0.000298,0.000298
296,5662.95,0.45605,0.69029,0.99612,0.87888,0.000265,0.000265,0.000265
297,5685.3,0.46939,0.69126,0.99612,0.91535,0.000232,0.000232,0.000232
298,5711.85,0.47886,0.69223,0.99612,0.91594,0.000199,0.000199,0.000199
299,5722.98,0.44403,0.69223,0.99709,0.8947,0.000166,0.000166,0.000166
